PART.name,SSS Category,Tier,Mod,Result,Category,
GrapplingDevice,isru,10,Squad,"@PART[GrapplingDevice]:AFTER[Squad] //
{
	@TechRequired = isru10
}",Coupling,
ISRU,isru,10,Squad,"@PART[ISRU]:AFTER[Squad] //
{
	@TechRequired = isru10
}",Utility,
RadialDrill,isru,10,Squad,"@PART[RadialDrill]:AFTER[Squad] //
{
	@TechRequired = isru10
}",Utility,
liquidEngine.v2,kerolox,2,Squad,"@PART[liquidEngine.v2]:AFTER[Squad] //
{
	@TechRequired = kerolox2
}",Engine,
radialEngineMini.v2,kerolox,3,Squad,"@PART[radialEngineMini.v2]:AFTER[Squad] //
{
	@TechRequired = kerolox3
}",Engine,
liquidEngine2.v2,kerolox,3,Squad,"@PART[liquidEngine2.v2]:AFTER[Squad] //
{
	@TechRequired = kerolox3
}",Engine,
radialLiquidEngine1-2,kerolox,4,Squad,"@PART[radialLiquidEngine1-2]:AFTER[Squad] //
{
	@TechRequired = kerolox4
}",Engine,
engineLargeSkipper.v2,kerolox,5,Squad,"@PART[engineLargeSkipper.v2]:AFTER[Squad] //
{
	@TechRequired = kerolox5
}",Engine,
liquidEngineMainsail.v2,kerolox,6,Squad,"@PART[liquidEngineMainsail.v2]:AFTER[Squad] //
{
	@TechRequired = kerolox6
}",Engine,
SSME,kerolox,8,Squad,"@PART[SSME]:AFTER[Squad] //
{
	@TechRequired = kerolox8
}",Engine,
Size2LFB.v2,kerolox,8,Squad,"@PART[Size2LFB.v2]:AFTER[Squad] //
{
	@TechRequired = kerolox8
}",Engine,
toroidalAerospike,kerolox,9,Squad,"@PART[toroidalAerospike]:AFTER[Squad] //
{
	@TechRequired = kerolox9
}",Engine,
ladder1,landing,2,Squad,"@PART[ladder1]:AFTER[Squad] //
{
	@TechRequired = landing2
}",Utility,
HeatShield0,landing,3,Squad,"@PART[HeatShield0]:AFTER[Squad] //
{
	@TechRequired = landing3
}",Thermal,
HeatShield1,landing,4,Squad,"@PART[HeatShield1]:AFTER[Squad] //
{
	@TechRequired = landing4
}",Thermal,
radialDrogue,landing,4,Squad,"@PART[radialDrogue]:AFTER[Squad] //
{
	@TechRequired = landing4
}",Utility,
parachuteSingle,landing,5,Squad,"@PART[parachuteSingle]:AFTER[Squad] //
{
	@TechRequired = landing5
}",Utility,
HeatShield2,landing,6,Squad,"@PART[HeatShield2]:AFTER[Squad] //
{
	@TechRequired = landing6
}",Thermal,
parachuteRadial,landing,6,Squad,"@PART[parachuteRadial]:AFTER[Squad] //
{
	@TechRequired = landing6
}",Utility,
landerCabinSmall,landing,7,Squad,"@PART[landerCabinSmall]:AFTER[Squad] //
{
	@TechRequired = landing7
}",Pods,
telescopicLadder,landing,7,Squad,"@PART[telescopicLadder]:AFTER[Squad] //
{
	@TechRequired = landing7
}",Utility,
parachuteDrogue,landing,7,Squad,"@PART[parachuteDrogue]:AFTER[Squad] //
{
	@TechRequired = landing7
}",Utility,
mk2LanderCabin.v2,landing,8,Squad,"@PART[mk2LanderCabin.v2]:AFTER[Squad] //
{
	@TechRequired = landing8
}",Pods,
HeatShield3,landing,8,Squad,"@PART[HeatShield3]:AFTER[Squad] //
{
	@TechRequired = landing8
}",Thermal,
telescopicLadderBay,landing,8,Squad,"@PART[telescopicLadderBay]:AFTER[Squad] //
{
	@TechRequired = landing8
}",Utility,
parachuteLarge,landing,8,Squad,"@PART[parachuteLarge]:AFTER[Squad] //
{
	@TechRequired = landing8
}",Utility,
InflatableHeatShield,landing,9,Squad,"@PART[InflatableHeatShield]:AFTER[Squad] //
{
	@TechRequired = landing9
}",Thermal,
miniLandingLeg,landing,5,Squad,"@PART[miniLandingLeg]:AFTER[Squad] //
{
	@TechRequired = landing5
}",Ground,
landingLeg1,landing,6,Squad,"@PART[landingLeg1]:AFTER[Squad] //
{
	@TechRequired = landing6
}",Ground,
landingLeg1-2,landing,7,Squad,"@PART[landingLeg1-2]:AFTER[Squad] //
{
	@TechRequired = landing7
}",Ground,
smallCargoContainer,logistics,7,Squad,"@PART[smallCargoContainer]:AFTER[Squad] //
{
	@TechRequired = logistics7
}",Cargo,
evaCylinder,logistics,7,Squad,"@PART[evaCylinder]:AFTER[Squad] //
{
	@TechRequired = logistics7
}",Cargo,
evaJetpack,logistics,7,Squad,"@PART[evaJetpack]:AFTER[Squad] //
{
	@TechRequired = logistics7
}",Cargo,
ConformalStorageUnit,logistics,7,Squad,"@PART[ConformalStorageUnit]:AFTER[Squad] //
{
	@TechRequired = logistics7
}",Cargo,
cargoContainer,logistics,8,Squad,"@PART[cargoContainer]:AFTER[Squad] //
{
	@TechRequired = logistics8
}",Cargo,
CargoStorageUnit,logistics,9,Squad,"@PART[CargoStorageUnit]:AFTER[Squad] //
{
	@TechRequired = logistics9
}",Cargo,
RadialOreTank,logistics,9,Squad,"@PART[RadialOreTank]:AFTER[Squad] //
{
	@TechRequired = logistics9
}",FuelTank,
SmallTank,logistics,9,Squad,"@PART[SmallTank]:AFTER[Squad] //
{
	@TechRequired = logistics9
}",FuelTank,
LargeTank,logistics,11,Squad,"@PART[LargeTank]:AFTER[Squad] //
{
	@TechRequired = logistics11
}",FuelTank,
probeCoreSphere.v2,probes,2,Squad,"@PART[probeCoreSphere.v2]:AFTER[Squad] //
{
	@TechRequired = probes2
}",Pods,
probeCoreOcto.v2,probes,3,Squad,"@PART[probeCoreOcto.v2]:AFTER[Squad] //
{
	@TechRequired = probes3
}",Pods,
probeCoreHex,probes,4,Squad,"@PART[probeCoreHex]:AFTER[Squad] //
{
	@TechRequired = probes4
}",none,
probeCoreCube,probes,5,Squad,"@PART[probeCoreCube]:AFTER[Squad] //
{
	@TechRequired = probes5
}",Pods,
probeCoreOcto2.v2,probes,6,Squad,"@PART[probeCoreOcto2.v2]:AFTER[Squad] //
{
	@TechRequired = probes6
}",Pods,
probeCoreHex.v2,probes,7,Squad,"@PART[probeCoreHex.v2]:AFTER[Squad] //
{
	@TechRequired = probes7
}",Pods,
HECS2.ProbeCore,probes,8,Squad,"@PART[HECS2.ProbeCore]:AFTER[Squad] //
{
	@TechRequired = probes8
}",Pods,
MpoProbe,probes,9,Squad,"@PART[MpoProbe]:AFTER[Squad] //
{
	@TechRequired = probes9
}",Pods,
MtmStage,probes,9,Squad,"@PART[MtmStage]:AFTER[Squad] //
{
	@TechRequired = probes9
}",Pods,
rtg,reactors,6,Squad,"@PART[rtg]:AFTER[Squad] //
{
	@TechRequired = reactors6
}",Electrical,
nuclearEngine,reactors,8,Squad,"@PART[nuclearEngine]:AFTER[Squad] //
{
	@TechRequired = reactors8
}",Engine,
roverWheel2,robotics,7,Squad,"@PART[roverWheel2]:AFTER[Squad] //
{
	@TechRequired = robotics7
}",Ground,
roverBody,robotics,7,Squad,"@PART[roverBody]:AFTER[Squad] //
{
	@TechRequired = robotics7
}",none,
roverBody.v2,robotics,7,Squad,"@PART[roverBody.v2]:AFTER[Squad] //
{
	@TechRequired = robotics7
}",Pods,
roverWheel1,robotics,9,Squad,"@PART[roverWheel1]:AFTER[Squad] //
{
	@TechRequired = robotics9
}",Ground,
wheelMed,robotics,10,Squad,"@PART[wheelMed]:AFTER[Squad] //
{
	@TechRequired = robotics10
}",Ground,
roverWheel3,robotics,11,Squad,"@PART[roverWheel3]:AFTER[Squad] //
{
	@TechRequired = robotics11
}",Ground,
fireworksLauncherBig,science,0,Squad,"@PART[fireworksLauncherBig]:AFTER[Squad] //
{
	@TechRequired = science0
}",Utility,
fireworksLauncherSmall,science,0,Squad,"@PART[fireworksLauncherSmall]:AFTER[Squad] //
{
	@TechRequired = science0
}",Utility,
sensorThermometer,science,0,Squad,"@PART[sensorThermometer]:AFTER[Squad] //
{
	@TechRequired = science0
}",Science,
sensorBarometer,science,1,Squad,"@PART[sensorBarometer]:AFTER[Squad] //
{
	@TechRequired = science1
}",Science,
Magnetometer,science,3,Squad,"@PART[Magnetometer]:AFTER[Squad] //
{
	@TechRequired = science3
}",Science,
ScienceBox,science,4,Squad,"@PART[ScienceBox]:AFTER[Squad] //
{
	@TechRequired = science4
}",Science,
GooExperiment,science,5,Squad,"@PART[GooExperiment]:AFTER[Squad] //
{
	@TechRequired = science5
}",Science,
sensorAccelerometer,science,5,Squad,"@PART[sensorAccelerometer]:AFTER[Squad] //
{
	@TechRequired = science5
}",Science,
evaScienceKit,science,6,Squad,"@PART[evaScienceKit]:AFTER[Squad] //
{
	@TechRequired = science6
}",Cargo,
sensorGravimeter,science,6,Squad,"@PART[sensorGravimeter]:AFTER[Squad] //
{
	@TechRequired = science6
}",Science,
sensorAtmosphere,science,8,Squad,"@PART[sensorAtmosphere]:AFTER[Squad] //
{
	@TechRequired = science8
}",Science,
Large.Crewed.Lab,science,8,Squad,"@PART[Large.Crewed.Lab]:AFTER[Squad] //
{
	@TechRequired = science8
}",Science,
OrbitalScanner,science,9,Squad,"@PART[OrbitalScanner]:AFTER[Squad] //
{
	@TechRequired = science9
}",Science,
SurfaceScanner,science,9,Squad,"@PART[SurfaceScanner]:AFTER[Squad] //
{
	@TechRequired = science9
}",Science,
SurveyScanner,science,9,Squad,"@PART[SurveyScanner]:AFTER[Squad] //
{
	@TechRequired = science9
}",Science,
InfraredTelescope,science,10,Squad,"@PART[InfraredTelescope]:AFTER[Squad] //
{
	@TechRequired = science10
}",Science,
solarPanels5,solar,3,Squad,"@PART[solarPanels5]:AFTER[Squad] //
{
	@TechRequired = solar3
}",Electrical,
solarPanels4,solar,4,Squad,"@PART[solarPanels4]:AFTER[Squad] //
{
	@TechRequired = solar4
}",Electrical,
solarPanels3,solar,4,Squad,"@PART[solarPanels3]:AFTER[Squad] //
{
	@TechRequired = solar4
}",Electrical,
solarPanels2,solar,5,Squad,"@PART[solarPanels2]:AFTER[Squad] //
{
	@TechRequired = solar5
}",Electrical,
solarPanels1,solar,5,Squad,"@PART[solarPanels1]:AFTER[Squad] //
{
	@TechRequired = solar5
}",Electrical,
LgRadialSolarPanel,solar,5,Squad,"@PART[LgRadialSolarPanel]:AFTER[Squad] //
{
	@TechRequired = solar5
}",Electrical,
solarPanelOX10C,solar,7,Squad,"@PART[solarPanelOX10C]:AFTER[Squad] //
{
	@TechRequired = solar7
}",Electrical,
solarPanelOX10L,solar,7,Squad,"@PART[solarPanelOX10L]:AFTER[Squad] //
{
	@TechRequired = solar7
}",Electrical,"Why not? Might not be completely realistic, but creates some variety!"
largeSolarPanel,solar,8,Squad,"@PART[largeSolarPanel]:AFTER[Squad] //
{
	@TechRequired = solar8
}",Electrical,
solarPanelSP10C,solar,9,Squad,"@PART[solarPanelSP10C]:AFTER[Squad] //
{
	@TechRequired = solar9
}",Electrical,
solarPanelSP10L,solar,9,Squad,"@PART[solarPanelSP10L]:AFTER[Squad] //
{
	@TechRequired = solar9
}",Electrical,
Mite,solids,0,Squad,"@PART[Mite]:AFTER[Squad] //
{
	@TechRequired = solids0
}",Engine,Isn't it part of EUS?
solidBooster.v2,solids,2,Squad,"@PART[solidBooster.v2]:AFTER[Squad] //
{
	@TechRequired = solids2
}",Engine,
solidBooster.sm.v2,solids,2,Squad,"@PART[solidBooster.sm.v2]:AFTER[Squad] //
{
	@TechRequired = solids2
}",Engine,
sepMotor1,solids,2,Squad,"@PART[sepMotor1]:AFTER[Squad] //
{
	@TechRequired = solids2
}",Engine,
Shrimp,solids,1,Squad,"@PART[Shrimp]:AFTER[Squad] //
{
	@TechRequired = solids1
}",Engine,
solidBooster1-1,solids,4,Squad,"@PART[solidBooster1-1]:AFTER[Squad] //
{
	@TechRequired = solids4
}",Engine,
MassiveBooster,solids,6,Squad,"@PART[MassiveBooster]:AFTER[Squad] //
{
	@TechRequired = solids6
}",Engine,
Thoroughbred,solids,7,Squad,"@PART[Thoroughbred]:AFTER[Squad] //
{
	@TechRequired = solids7
}",Engine,
Clydesdale,solids,7,Squad,"@PART[Clydesdale]:AFTER[Squad] //
{
	@TechRequired = solids7
}",Engine,
turboJet,spaceplanes,5,Squad,"@PART[turboJet]:AFTER[Squad] //
{
	@TechRequired = spaceplanes5
}",Engine,
shockConeIntake,spaceplanes,6,Squad,"@PART[shockConeIntake]:AFTER[Squad] //
{
	@TechRequired = spaceplanes6
}",Aero,
turboFanEngine,spaceplanes,6,Squad,"@PART[turboFanEngine]:AFTER[Squad] //
{
	@TechRequired = spaceplanes6
}",Engine,
ramAirIntake,spaceplanes,7,Squad,"@PART[ramAirIntake]:AFTER[Squad] //
{
	@TechRequired = spaceplanes7
}",Aero,
radialEngineBody,spaceplanes,7,Squad,"@PART[radialEngineBody]:AFTER[Squad] //
{
	@TechRequired = spaceplanes7
}",Aero,
RAPIER,spaceplanes,9,Squad,"@PART[RAPIER]:AFTER[Squad] //
{
	@TechRequired = spaceplanes9
}",Engine,
dockingPort3,spaceStations,6,Squad,"@PART[dockingPort3]:AFTER[Squad] //
{
	@TechRequired = spaceStations6
}",Coupling,
stationHub,spaceStations,6,Squad,"@PART[stationHub]:AFTER[Squad] //
{
	@TechRequired = spaceStations6
}",Structural,
dockingPort2,spaceStations,7,Squad,"@PART[dockingPort2]:AFTER[Squad] //
{
	@TechRequired = spaceStations7
}",Coupling,
dockingPortLateral,spaceStations,8,Squad,"@PART[dockingPortLateral]:AFTER[Squad] //
{
	@TechRequired = spaceStations8
}",Coupling,
dockingPort1,spaceStations,8,Squad,"@PART[dockingPort1]:AFTER[Squad] //
{
	@TechRequired = spaceStations8
}",Coupling,
dockingPortLarge,spaceStations,8,Squad,"@PART[dockingPortLarge]:AFTER[Squad] //
{
	@TechRequired = spaceStations8
}",Coupling,
cupola,spaceStations,8,Squad,"@PART[cupola]:AFTER[Squad] //
{
	@TechRequired = spaceStations8
}",Pods,
crewCabin,spaceStations,8,Squad,"@PART[crewCabin]:AFTER[Squad] //
{
	@TechRequired = spaceStations8
}",Utility,
mk2DockingPort,spaceStations,9,Squad,"@PART[mk2DockingPort]:AFTER[Squad] //
{
	@TechRequired = spaceStations9
}",Coupling,
SurfAntenna,start,,Squad,"@PART[SurfAntenna]:AFTER[Squad] //
{
	@TechRequired = start
}",Communication,
standardNoseCone,start,,Squad,"@PART[standardNoseCone]:AFTER[Squad] //
{
	@TechRequired = start
}",Aero,
strutConnector,start,,Squad,"@PART[strutConnector]:AFTER[Squad] //
{
	@TechRequired = start
}",Structural,
basicFin,start,,Squad,"@PART[basicFin]:AFTER[Squad] //
{
	@TechRequired = start
}",Aero,
fuelTank.long,tanks,1,Squad,"@PART[fuelTank.long]:AFTER[Squad] //
{
	@TechRequired = tanks1
}",FuelTank,
miniFuelTank,tanks,2,Squad,"@PART[miniFuelTank]:AFTER[Squad] //
{
	@TechRequired = tanks2
}",FuelTank,
fuelTankSmallFlat,tanks,2,Squad,"@PART[fuelTankSmallFlat]:AFTER[Squad] //
{
	@TechRequired = tanks2
}",FuelTank,
fuelTankSmall,tanks,2,Squad,"@PART[fuelTankSmall]:AFTER[Squad] //
{
	@TechRequired = tanks2
}",FuelTank,
fuelTank,tanks,2,Squad,"@PART[fuelTank]:AFTER[Squad] //
{
	@TechRequired = tanks2
}",FuelTank,
fuelLine,tanks,3,Squad,"@PART[fuelLine]:AFTER[Squad] //
{
	@TechRequired = tanks3
}",FuelTank,
ReleaseValve,tanks,3,Squad,"@PART[ReleaseValve]:AFTER[Squad] //
{
	@TechRequired = tanks3
}",FuelTank,
rcsTankMini,tanks,4,Squad,"@PART[rcsTankMini]:AFTER[Squad] //
{
	@TechRequired = tanks4
}",FuelTank,
Rockomax32.BW,tanks,5,Squad,"@PART[Rockomax32.BW]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
Rockomax64.BW,tanks,5,Squad,"@PART[Rockomax64.BW]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
externalTankRound,tanks,5,Squad,"@PART[externalTankRound]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",Propulsion,
adapterSize2-Size1,tanks,5,Squad,"@PART[adapterSize2-Size1]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
adapterSize2-Size1Slant,tanks,5,Squad,"@PART[adapterSize2-Size1Slant]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
externalTankToroid,tanks,5,Squad,"@PART[externalTankToroid]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
RCSFuelTank,tanks,5,Squad,"@PART[RCSFuelTank]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
radialRCSTank,tanks,5,Squad,"@PART[radialRCSTank]:AFTER[Squad] //
{
	@TechRequired = tanks5
}",FuelTank,
Rockomax16.BW,tanks,6,Squad,"@PART[Rockomax16.BW]:AFTER[Squad] //
{
	@TechRequired = tanks6
}",FuelTank,
Rockomax8BW,tanks,6,Squad,"@PART[Rockomax8BW]:AFTER[Squad] //
{
	@TechRequired = tanks6
}",FuelTank,
externalTankCapsule,tanks,6,Squad,"@PART[externalTankCapsule]:AFTER[Squad] //
{
	@TechRequired = tanks6
}",Propulsion,
Size3LargeTank,tanks,7,Squad,"@PART[Size3LargeTank]:AFTER[Squad] //
{
	@TechRequired = tanks7
}",Propulsion,
Size3MediumTank,tanks,7,Squad,"@PART[Size3MediumTank]:AFTER[Squad] //
{
	@TechRequired = tanks7
}",Propulsion,
RCSTank1-2,tanks,7,Squad,"@PART[RCSTank1-2]:AFTER[Squad] //
{
	@TechRequired = tanks7
}",FuelTank,
rcsTankRadialLong,tanks,7,Squad,"@PART[rcsTankRadialLong]:AFTER[Squad] //
{
	@TechRequired = tanks7
}",FuelTank,
Size3To2Adapter.v2,tanks,7,Squad,"@PART[Size3To2Adapter.v2]:AFTER[Squad] //
{
	@TechRequired = tanks7
}",FuelTank,
Size3SmallTank,tanks,8,Squad,"@PART[Size3SmallTank]:AFTER[Squad] //
{
	@TechRequired = tanks8
}",Propulsion,
radPanelSm,thermal,6,Squad,"@PART[radPanelSm]:AFTER[Squad] //
{
	@TechRequired = thermal6
}",Thermal,
radPanelEdge,thermal,7,Squad,"@PART[radPanelEdge]:AFTER[Squad] //
{
	@TechRequired = thermal7
}",Thermal,
radPanelLg,thermal,7,Squad,"@PART[radPanelLg]:AFTER[Squad] //
{
	@TechRequired = thermal7
}",Thermal,
foldingRadSmall,thermal,8,Squad,"@PART[foldingRadSmall]:AFTER[Squad] //
{
	@TechRequired = thermal8
}",Thermal,
foldingRadMed,thermal,9,Squad,"@PART[foldingRadMed]:AFTER[Squad] //
{
	@TechRequired = thermal9
}",Thermal,
foldingRadLarge,thermal,10,Squad,"@PART[foldingRadLarge]:AFTER[Squad] //
{
	@TechRequired = thermal10
}",Thermal,
FanShroud.01,aviation,2,SquadExpansion,"@PART[FanShroud.01]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
FanShroud.02,aviation,2,SquadExpansion,"@PART[FanShroud.02]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
noseconeTiny,aviation,2,SquadExpansion,"@PART[noseconeTiny]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
noseconeVS,aviation,2,SquadExpansion,"@PART[noseconeVS]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
mediumFanBlade,aviation,2,SquadExpansion,"@PART[mediumFanBlade]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
mediumHeliBlade,aviation,2,SquadExpansion,"@PART[mediumHeliBlade]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
mediumPropeller,aviation,2,SquadExpansion,"@PART[mediumPropeller]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
smallFanBlade,aviation,2,SquadExpansion,"@PART[smallFanBlade]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
smallHeliBlade,aviation,2,SquadExpansion,"@PART[smallHeliBlade]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
smallPropeller,aviation,2,SquadExpansion,"@PART[smallPropeller]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Aero,
RotorEngine.02,aviation,2,SquadExpansion,"@PART[RotorEngine.02]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation2
}",Robotics,
FanShroud.03,aviation,3,SquadExpansion,"@PART[FanShroud.03]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation3
}",Aero,
largeFanBlade,aviation,3,SquadExpansion,"@PART[largeFanBlade]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation3
}",Aero,
largeHeliBlade,aviation,3,SquadExpansion,"@PART[largeHeliBlade]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation3
}",Aero,
largePropeller,aviation,3,SquadExpansion,"@PART[largePropeller]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation3
}",Aero,
RotorEngine.03,aviation,3,SquadExpansion,"@PART[RotorEngine.03]:AFTER[SquadExpansion] //
{
	@TechRequired = aviation3
}",Robotics,
kv1Pod,capsules,5,SquadExpansion,"@PART[kv1Pod]:AFTER[SquadExpansion] //
{
	@TechRequired = capsules5
}",Pods,
kv2Pod,capsules,6,SquadExpansion,"@PART[kv2Pod]:AFTER[SquadExpansion] //
{
	@TechRequired = capsules6
}",Pods,
Mk2Pod,capsules,6,SquadExpansion,"@PART[Mk2Pod]:AFTER[SquadExpansion] //
{
	@TechRequired = capsules6
}",Pods,
kv3Pod,capsules,7,SquadExpansion,"@PART[kv3Pod]:AFTER[SquadExpansion] //
{
	@TechRequired = capsules7
}",Pods,
DeployedSatDish,comms,8,SquadExpansion,"@PART[DeployedSatDish]:AFTER[SquadExpansion] //
{
	@TechRequired = comms8
}",Cargo,
EquiTriangle0,construction,3,SquadExpansion,"@PART[EquiTriangle0]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
EquiTriangle1,construction,3,SquadExpansion,"@PART[EquiTriangle1]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
EquiTriangle1p5,construction,3,SquadExpansion,"@PART[EquiTriangle1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
EquiTriangle2,construction,3,SquadExpansion,"@PART[EquiTriangle2]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Panel0,construction,3,SquadExpansion,"@PART[Panel0]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Panel1,construction,3,SquadExpansion,"@PART[Panel1]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Panel1p5,construction,3,SquadExpansion,"@PART[Panel1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Panel2,construction,3,SquadExpansion,"@PART[Panel2]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Triangle0,construction,3,SquadExpansion,"@PART[Triangle0]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Triangle1,construction,3,SquadExpansion,"@PART[Triangle1]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Triangle1p5,construction,3,SquadExpansion,"@PART[Triangle1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Triangle2,construction,3,SquadExpansion,"@PART[Triangle2]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Tube1,construction,3,SquadExpansion,"@PART[Tube1]:AFTER[SquadExpansion] //
{
	@TechRequired = construction3
}",Structural,
Decoupler.1p5,construction,4,SquadExpansion,"@PART[Decoupler.1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction4
}",Coupling,
Size.1.5.Cone,construction,4,SquadExpansion,"@PART[Size.1.5.Cone]:AFTER[SquadExpansion] //
{
	@TechRequired = construction4
}",Aero,
Separator.1p5,construction,4,SquadExpansion,"@PART[Separator.1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction4
}",Coupling,
Size1p5.Strut.Decoupler,construction,4,SquadExpansion,"@PART[Size1p5.Strut.Decoupler]:AFTER[SquadExpansion] //
{
	@TechRequired = construction4
}",Coupling,
fairingSize1p5,construction,4,SquadExpansion,"@PART[fairingSize1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction4
}",Payload,
Tube1p5,construction,4,SquadExpansion,"@PART[Tube1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction4
}",Structural,
EnginePlate1p5,construction,5,SquadExpansion,"@PART[EnginePlate1p5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction5
}",Coupling,
EnginePlate2,construction,5,SquadExpansion,"@PART[EnginePlate2]:AFTER[SquadExpansion] //
{
	@TechRequired = construction5
}",Coupling,
Tube2,construction,5,SquadExpansion,"@PART[Tube2]:AFTER[SquadExpansion] //
{
	@TechRequired = construction5
}",Structural,
InflatableAirlock,construction,6,SquadExpansion,"@PART[InflatableAirlock]:AFTER[SquadExpansion] //
{
	@TechRequired = construction6
}",Coupling,
EnginePlate3,construction,7,SquadExpansion,"@PART[EnginePlate3]:AFTER[SquadExpansion] //
{
	@TechRequired = construction7
}",Coupling,
Tube3,construction,7,SquadExpansion,"@PART[Tube3]:AFTER[SquadExpansion] //
{
	@TechRequired = construction7
}",Structural,
sGripPad,construction,7,SquadExpansion,"@PART[sGripPad]:AFTER[SquadExpansion] //
{
	@TechRequired = construction7
}",Structural,
sGripStrip,construction,7,SquadExpansion,"@PART[sGripStrip]:AFTER[SquadExpansion] //
{
	@TechRequired = construction7
}",Structural,
Decoupler.4,construction,8,SquadExpansion,"@PART[Decoupler.4]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Coupling,
rocketNoseConeSize4,construction,8,SquadExpansion,"@PART[rocketNoseConeSize4]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Aero,
EnginePlate4,construction,8,SquadExpansion,"@PART[EnginePlate4]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Coupling,
EnginePlate5,construction,8,SquadExpansion,"@PART[EnginePlate5]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Coupling,
Separator.4,construction,8,SquadExpansion,"@PART[Separator.4]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Coupling,
fairingSize4,construction,8,SquadExpansion,"@PART[fairingSize4]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Payload,
Tube4,construction,8,SquadExpansion,"@PART[Tube4]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Structural,
mGripPad,construction,8,SquadExpansion,"@PART[mGripPad]:AFTER[SquadExpansion] //
{
	@TechRequired = construction8
}",Structural,
lGripPad,construction,9,SquadExpansion,"@PART[lGripPad]:AFTER[SquadExpansion] //
{
	@TechRequired = construction9
}",Structural,
lGripStrip,construction,9,SquadExpansion,"@PART[lGripStrip]:AFTER[SquadExpansion] //
{
	@TechRequired = construction9
}",Structural,
LiquidEngineRE-I2,cryo,8,SquadExpansion,"@PART[LiquidEngineRE-I2]:AFTER[SquadExpansion] //
{
	@TechRequired = cryo8
}",Engine,
LiquidEngineLV-T91,hypergol,6,SquadExpansion,"@PART[LiquidEngineLV-T91]:AFTER[SquadExpansion] //
{
	@TechRequired = hypergol6
}",Engine,
LiquidEngineLV-TX87,hypergol,6,SquadExpansion,"@PART[LiquidEngineLV-TX87]:AFTER[SquadExpansion] //
{
	@TechRequired = hypergol6
}",Engine,
LiquidEngineRE-J10,hypergol,9,SquadExpansion,"@PART[LiquidEngineRE-J10]:AFTER[SquadExpansion] //
{
	@TechRequired = hypergol9
}",Engine,
LiquidEngineRK-7,kerolox,2,SquadExpansion,"@PART[LiquidEngineRK-7]:AFTER[SquadExpansion] //
{
	@TechRequired = kerolox2
}",Engine,
